repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,cross_module_calls,coupling_score,cohesion_score,complexity_score,dependency_depth,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
lightly-ai/lightly,https://github.com/lightly-ai/lightly,1073,749,0,642,13822,1.0,0.003,1.0,1,5.1,11.37,297,1060,4345,success,
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,1772,1329,0,1004,33493,1.0,0.001,1.0,1,5.02,13.84,372,1178,7360,success,
alibaba/EasyCV,https://github.com/alibaba/EasyCV,1688,1175,0,918,20172,1.0,0.001,1.0,1,5.02,12.07,240,1120,4826,success,
s3prl/s3prl,https://github.com/s3prl/s3prl,1221,709,0,555,16207,1.0,0.001,1.0,1,5.02,15.99,434,769,3967,success,
microsoft/UniSpeech,https://github.com/microsoft/UniSpeech,557,194,0,295,7477,1.0,0.0,1.0,1,5.0,34.38,308,334,2198,success,
imbue-ai/self_supervised,https://github.com/imbue-ai/self_supervised,59,9,0,27,318,1.0,0.181,1.0,1,10.42,21.89,69,23,91,success,
google-research/pegasus,https://github.com/google-research/pegasus,253,134,0,82,2062,1.0,0.0,1.0,1,5.01,10.0,70,136,584,success,
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,1302,645,0,568,17275,1.0,0.0,1.0,1,5.0,23.87,239,1481,8060,success,
facebookresearch/esm,https://github.com/facebookresearch/esm,558,79,0,140,2072,1.0,0.004,1.0,1,5.11,15.32,92,84,516,success,
brightmart/text_classification,https://github.com/brightmart/text_classification,195,95,0,66,3474,1.0,0.0,1.0,1,5.0,20.89,142,45,648,success,
google/trax,https://github.com/google/trax,477,198,0,145,7294,1.0,0.002,1.0,1,5.06,41.13,571,315,3870,success,
google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,402,140,0,86,2861,1.0,0.002,1.0,1,5.06,15.58,129,323,1315,success,
PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,4636,1082,0,846,25089,1.0,0.001,1.0,1,5.04,15.51,314,1056,5844,success,
volcengine/verl,https://github.com/volcengine/verl,1264,527,0,607,15107,1.0,0.003,1.0,1,5.1,21.46,243,498,3243,success,
dmlc/dgl,https://github.com/dmlc/dgl,2677,1227,0,823,43981,1.0,0.0,1.0,1,5.0,19.86,406,1393,9620,success,
HiLab-git/SSL4MIS,https://github.com/HiLab-git/SSL4MIS,144,66,0,103,3559,1.0,0.0,1.0,1,5.0,26.32,156,123,577,success,
Lightning-Universe/lightning-transformers,https://github.com/Lightning-Universe/lightning-transformers,263,95,0,108,687,1.0,0.007,0.462,1,15.97,4.62,46,42,286,success,
facebookresearch/detr,https://github.com/facebookresearch/detr,97,28,0,90,1038,1.0,0.052,1.0,1,6.55,21.14,84,49,232,success,
NVIDIA-Merlin/Transformers4Rec,https://github.com/NVIDIA-Merlin/Transformers4Rec,350,119,0,162,2193,1.0,0.002,1.0,1,5.07,16.33,205,163,729,success,
NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,2494,799,0,881,23971,1.0,0.004,1.0,1,5.12,28.18,515,988,6484,success,
adap/flower,https://github.com/adap/flower,3555,1112,0,892,19230,1.0,0.0,1.0,1,5.0,10.29,122,746,5452,success,
